Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,MP,PTS,TRB,AST
Connie Hawkins,4,2,45,8,16,0.5,,,,8,16,0.5,9,10,0.9,,,10,5,,,,5,25,,11.3,6.3,2.5,1.3
Jim Pollard,4,,,21,69,0.304,,,,21,69,0.304,6,8,0.75,,,22,13,,,,8,48,,,12,5.5,3.3
Rudy LaRusso,4,0,70,13,27,0.481,,,,13,27,0.481,3,9,0.333,,,17,6,,,,6,29,,17.5,7.3,4.3,1.5
Bill Laimbeer,4,0,45,13,20,0.65,0,0,,13,20,0.65,2,3,0.667,3,8,11,2,2,2,1,7,28,,11.3,7,2.8,0.5
David Thompson,4,4,115,33,49,0.673,0,0,,33,49,0.673,9,17,0.529,3,13,16,10,6,1,8,13,75,,28.8,18.8,4,2.5
Wayne Embry,4,0,64,15,34,0.441,,,,15,34,0.441,2,2,1,,,18,2,,,,10,32,,16,8,4.5,0.5
Alonzo Mourning,4,1,75,18,33,0.545,0,1,0,18,32,0.563,4,6,0.667,3,16,19,4,3,8,5,12,40,,18.8,10,4.8,1
Johnny Green,4,0,72,13,19,0.684,,,,13,19,0.684,6,8,0.75,,,9,0,,,,9,32,,18,8,2.3,0
Guy Rodgers,4,3,101,10,27,0.37,,,,10,27,0.37,2,3,0.667,,,13,25,,,,13,22,,25.3,5.5,3.3,6.3
Bob Dandridge,4,1,74,12,25,0.48,,,,12,25,0.48,2,3,0.667,8,3,14,2,5,0,1,9,26,,18.5,6.5,3.5,0.5
Bernard King,4,1,84,18,38,0.474,0,0,,18,38,0.474,9,13,0.692,8,9,17,9,3,2,4,10,45,,21,11.3,4.3,2.3
Maurice Cheeks,4,1,44,7,16,0.438,0,0,,7,16,0.438,2,2,1,0,3,3,4,3,0,4,2,16,,11,4,0.8,1
Earl Monroe,4,3,85,14,39,0.359,,,,14,39,0.359,12,17,0.706,0,3,12,11,1,0,,10,40,,21.3,10,3,2.8
Rolando Blackman,4,0,88,29,49,0.592,0,0,,29,49,0.592,13,16,0.813,4,9,13,13,5,2,5,5,71,,22,17.8,3.3,3.3
Dick Van Arsdale,3,0,38,8,16,0.5,,,,8,16,0.5,0,1,0,,,8,5,,,,1,16,,12.7,5.3,2.7,1.7
Tom Van Arsdale,3,0,23,6,16,0.375,,,,6,16,0.375,1,3,0.333,,,3,2,,,,3,13,,7.7,4.3,1,0.7
Gilbert Arenas,3,1,44,6,23,0.261,3,12,0.25,3,11,0.273,1,2,0.5,1,2,3,8,3,0,2,2,16,,14.7,5.3,1,2.7
